xdrop,dataset,devicename,algo,gcups_inner,time_ms_inner
5.0,celegans,AMD EPYC 7763,ksw2,16611.80484663417,218690.862
5.0,celegans,AMD EPYC 7763,seqan,50084.36139354766,72534.616
5.0,celegans,Graphcore IPU Bow,ipuma,102843.62477404693,35324.01672216216
5.0,celegans,NVIDIA A100,logan,9761.002529115493,372180.0
5.0,ecoli,AMD EPYC 7763,ksw2,9352.115902572254,13048.142
5.0,ecoli,AMD EPYC 7763,seqan,28224.36608424838,4323.489
5.0,ecoli,Graphcore IPU Bow,ipuma,131457.16070871032,928.2699827027027
5.0,ecoli,NVIDIA A100,logan,5830.278848409983,20930.0
5.0,ecoli100,AMD EPYC 7763,ksw2,9639.218014400734,85162.153
5.0,ecoli100,AMD EPYC 7763,seqan,29903.65799305476,27451.376
5.0,ecoli100,Graphcore IPU Bow,ipuma,90670.67204210548,9053.606208648649
5.0,ecoli100,NVIDIA A100,logan,10090.922671699467,81350.0
5.0,simulated85,AMD EPYC 7763,ksw2,9659.817453596175,1656.346
5.0,simulated85,AMD EPYC 7763,seqan,28173.775849429152,567.904
5.0,simulated85,Graphcore IPU Bow,ipuma,88054.10844045896,181.70645621621622
5.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
10.0,celegans,AMD EPYC 7763,ksw2,9663.761198202788,375925.051
10.0,celegans,AMD EPYC 7763,seqan,26436.815280838364,137416.322
10.0,celegans,Graphcore IPU Bow,ipuma,41678.96585015859,87162.66939891892
10.0,celegans,NVIDIA A100,logan,7982.355740999328,455110.0
10.0,ecoli,AMD EPYC 7763,ksw2,7455.166376900991,16368.211
10.0,ecoli,AMD EPYC 7763,seqan,16352.982286538689,7462.109
10.0,ecoli,Graphcore IPU Bow,ipuma,40197.832698282684,3035.679490810811
10.0,ecoli,NVIDIA A100,logan,4932.40647927328,24740.0
10.0,ecoli100,AMD EPYC 7763,ksw2,5001.721115612777,164122.817
10.0,ecoli100,AMD EPYC 7763,seqan,9564.47982844907,85827.622
10.0,ecoli100,Graphcore IPU Bow,ipuma,22195.681168123894,36984.51753405405
10.0,ecoli100,NVIDIA A100,logan,4522.596878093503,181510.0
10.0,simulated85,AMD EPYC 7763,ksw2,9529.623728759638,1678.975
10.0,simulated85,AMD EPYC 7763,seqan,23411.25378968824,683.432
10.0,simulated85,Graphcore IPU Bow,ipuma,72864.26327108161,219.5863827027027
10.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
15.0,celegans,AMD EPYC 7763,ksw2,7010.735611234031,518183.843
15.0,celegans,AMD EPYC 7763,seqan,9982.348213110732,363927.389
15.0,celegans,Graphcore IPU Bow,ipuma,16122.54781264105,225327.2847135135
15.0,celegans,NVIDIA A100,logan,4900.118591392004,741380.0
15.0,ecoli,AMD EPYC 7763,ksw2,7064.047274434207,17274.479
15.0,ecoli,AMD EPYC 7763,seqan,10881.108491668387,11214.642
15.0,ecoli,Graphcore IPU Bow,ipuma,17909.51893146589,6813.568625945946
15.0,ecoli,NVIDIA A100,logan,4216.576928031131,28940.0
15.0,ecoli100,AMD EPYC 7763,ksw2,4477.836815022429,183324.358
15.0,ecoli100,AMD EPYC 7763,seqan,5684.462884094803,144410.576
15.0,ecoli100,Graphcore IPU Bow,ipuma,10582.093483042798,77574.11713081082
15.0,ecoli100,NVIDIA A100,logan,3366.951968101192,243810.0
15.0,simulated85,AMD EPYC 7763,ksw2,8636.128596269738,1852.682
15.0,simulated85,AMD EPYC 7763,seqan,20533.301164487417,779.222
15.0,simulated85,Graphcore IPU Bow,ipuma,52200.931104462135,306.5079427027027
15.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
20.0,celegans,AMD EPYC 7763,ksw2,6179.962963610876,587843.316
20.0,celegans,AMD EPYC 7763,seqan,5679.761533226686,639613.107
20.0,celegans,Graphcore IPU Bow,ipuma,9564.886109072455,379811.1007135135
20.0,celegans,NVIDIA A100,logan,3756.7474522617986,967020.0
20.0,ecoli,AMD EPYC 7763,ksw2,6946.566139146743,17566.627
20.0,ecoli,AMD EPYC 7763,seqan,8434.069538387404,14468.429
20.0,ecoli,Graphcore IPU Bow,ipuma,10645.483090496373,11462.865072432432
20.0,ecoli,NVIDIA A100,logan,4040.653519775528,30200.0
20.0,ecoli100,AMD EPYC 7763,ksw2,4195.937921197347,195640.778
20.0,ecoli100,AMD EPYC 7763,seqan,4018.1950122000953,204294.853
20.0,ecoli100,Graphcore IPU Bow,ipuma,6808.152432205353,120575.52581513513
20.0,ecoli100,NVIDIA A100,logan,3037.0955615921844,270290.0
20.0,simulated85,AMD EPYC 7763,ksw2,8441.627989058707,1895.369
20.0,simulated85,AMD EPYC 7763,seqan,19385.127972126866,825.375
20.0,simulated85,Graphcore IPU Bow,ipuma,45314.447684026636,353.08827135135135
20.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
